solv_comb_sm,salt_comb_sm,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COC(C)C(C)(F)C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.1553797910349543e-06,0.001091218070520372,1.2244912438249373e-07,-9.405635262902243e-08,-0.7681259715277265,2.8392771753471304e-08
COC(SC)C(C)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.3298356675076103e-06,0.0011354933411866224,1.2220759970158228e-07,-9.38279055723785e-08,-0.7677747194241281,2.837969412920378e-08
COC(C)(CCl)CCOP(=O)(OC)OP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.172252403506954e-06,0.0010937087912751015,1.2205828246790353e-07,-9.367959824484906e-08,-0.7674989058565778,2.8378684223054454e-08
COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(S(=O)(=O)OC)(S(=O)(=O)OC)S(=O)(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,8.839091200262001e-07,0.0007543205886697943,1.2070916886741518e-07,-9.233436342378851e-08,-0.7649324760508205,2.8374805443626672e-08
COCC(C)(CSCC(=O)OCC(COCCC[Si](OC)(OC)OC)OC)C(=O)N(C)C,[Li+].F[P-](F)(F)(F)(F)F,7.164268453095887e-07,0.0007139622695096677,1.201742325523477e-07,-9.182513695975822e-08,-0.764100048816699,2.8349095592589483e-08
COC(COC[Si](OC)(OC)OC)CN(C)CN(C)CC(OC)OC[Si](OC)(OC)OC,[Li+].F[P-](F)(F)(F)(F)F,7.40664816482373e-07,0.0007176303476579131,1.2070790545219206e-07,-9.236164078974904e-08,-0.7651664606700518,2.8346264662443014e-08
COCCOCCN(C)CCN(C)C(=O)N(C)C(CC(=O)N(C)C)C(=O)N(C)N(C)C(=O)CN(C)C(C)=O,[Li+].F[P-](F)(F)(F)(F)F,3.8054141192348125e-07,0.0006640168016714905,1.2079652579295118e-07,-9.245329380742073e-08,-0.7653638480123874,2.834323198553045e-08
COCCN(Cl)C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.2679380811219515e-06,0.0011152756009303628,1.2222219243346088e-07,-9.389102016226688e-08,-0.7681994431034461,2.833117227119399e-08
COCC(C)(C)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.7908725153896777e-06,0.0012472104795677086,1.2144110334973682e-07,-9.311748499668728e-08,-0.7667707425921463,2.832361835304956e-08
COCCN(C)CC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.584706772166108e-06,0.00093322220346667,1.222942389499813e-07,-9.397102168506935e-08,-0.7684010505474733,2.832321726491195e-08
COC(C)C(C)(C)COP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.2846386436603628e-06,0.0011215404580610369,1.2166695775174532e-07,-9.334785017186641e-08,-0.7672407685440571,2.831910757987888e-08
CO[Si](C)(C)OC(C)(C)[Si](C)(CCC(F)(F)F)OC(C)(C)[Si](C)(C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.3844565102193456e-06,0.0008819891782497351,1.2102184510371262e-07,-9.272287245457572e-08,-0.7661664088422597,2.8298972649136906e-08
CO[Si](CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,[Li+].F[P-](F)(F)(F)(F)F,1.3034528113431874e-06,0.0008666845535954926,1.1989013204518852e-07,-9.159444712083207e-08,-0.7639865396620686,2.829568492435644e-08
CO[Si](CCCC(CCCCCCCN(C)C)(CCC[Si](OC)(OC)OC)N(C)C)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,7.87467531564007e-07,0.0007259034508804452,1.2079955669216968e-07,-9.253147120243955e-08,-0.7659918110315177,2.8268085489730134e-08
COCC(F)(F)CC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.409240380536142e-06,0.00138903298137814,1.1341506031297812e-07,-8.514840951013714e-08,-0.7507681014775563,2.8266650802840994e-08
COP(=O)(OS(C)(=O)=O)C(Cl)(Cl)P(=O)(OC(C)C)OC(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.4669264852604903e-06,0.0009043677674241755,1.2108427661081486e-07,-9.281879076962799e-08,-0.7665635321748928,2.8265485841186886e-08
COCN(C)C(C)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.8591391776044307e-06,0.001004922187996146,1.224870055890238e-07,-9.422488940318449e-08,-0.7692643717598407,2.8262116185839302e-08
COC(CC(F)F)(O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.5654930386205495e-06,0.0009300014510121816,1.2153156705280596e-07,-9.327570114254034e-08,-0.7675018384483734,2.825586591026561e-08
COCCOCCOC(C)(C)CN(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.7743695267297654e-06,0.0009836421700857142,1.2274678265325437e-07,-9.449355049862313e-08,-0.7698250695951568,2.8253232154631227e-08
COCCOCCN(C)CC(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.552821074365458e-06,0.0009239172229047548,1.21925628833371e-07,-9.36739173327311e-08,-0.7682873422842875,2.8251711500639887e-08
COCC(C)(OC)C(C)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.9693937289424305e-06,0.0012862649766103003,1.1750491545611422e-07,-8.925480886198969e-08,-0.7595836184004116,2.825010659412454e-08
