solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCCN1C(=O)N(C)C(=O)C2(CCCC2)C1=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.82852525,-0.532672538,1.256111394,0.493786693,-0.640616889,0.18513379,0.539798977,1.863845989,0.081402536,-1.165720761,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,268.1423071,186.9396855,1.0,0.0,150,50,2,1874.0,9.04870583417364e-07,0.0006771131147647812,1.2977193256435965e-08,-1.1547858413334998e-08,-8.079183453110062,1.4293348431009669e-09
COCC(COC)(COC)COP,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.709301519,-1.406379852,1.0129615,-0.632014128,0.122775206,0.01354336,0.888749355,0.237449647,-0.148855814,-0.24634841,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,210.1020957,186.9396855,1.0,0.0,150,50,2,3680.0,1.6072503514922543e-06,0.0008459573907904501,8.603869149621993e-09,-7.692924909864306e-09,-8.445000883819889,9.109442397576874e-10
COCCOCCOCCOB=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.926004881,-0.679822097,1.275222476,-0.240332014,-0.15090167,0.296469733,0.726628423,0.577865821,-0.94132377,-0.48123097,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,190.101254,186.9396855,1.0,0.0,150,50,2,2836.0,1.629335255269504e-06,0.0008570948067874422,1.003398845993554e-08,-8.94673065314116e-09,-8.22871134815693,1.0872578067943837e-09
COCCC1OC(C)(C)CN1C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.747737762,-1.115576323,1.221143345,-0.299444052,-0.732989709,0.346236132,0.463534226,1.367309582,-0.09189118,0.300289871,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,173.1415788,186.9396855,1.0,0.0,150,50,2,4700.0,7.445300038250993e-07,0.0006080941627102336,7.437353549486218e-09,-6.675750151694116e-09,-8.765389139606249,7.616033977921027e-10
COCCCN1CC2CN(C)CCN2C(=O)C1=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.79529193,-0.449198801,0.988871697,1.022743127,-0.900866984,-0.098497285,1.23470771,1.255051902,-0.859407219,-0.153281271,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,255.1582915,186.9396855,1.0,0.0,150,50,2,2825.0,8.099858112081738e-07,0.0006384453741876678,1.0218141866722787e-08,-9.128453021553137e-09,-8.377118901434628,1.0896888451696489e-09
COCCOCCOC(C)(C)CN(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.135043892,-0.569692011,0.174505423,-1.054241129,0.49207616,0.590236319,1.692609474,0.668547267,-0.242197974,-0.118418858,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,219.1834437,186.9396855,1.0,0.0,150,50,2,2989.0,1.1579180514310058e-06,0.0007184361768830327,9.507840303301713e-09,-8.458005677532862e-09,-8.05651239721552,1.0498346257688506e-09
COCC([SiH3])(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.589309935,-1.441586477,1.021240964,-0.701910538,0.188416597,0.079604671,0.887862615,0.141989548,-0.178406192,-0.146103646,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,150.0712208,186.9396855,1.0,0.0,150,50,2,4687.0,1.5319720257321215e-06,0.0008186096815539755,7.477851890023724e-09,-6.714930919704101e-09,-8.801607480904496,7.629209703196219e-10
COCCCCN1CCCCC1=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.465141086,-0.082465598,1.283463042,0.967933485,-0.513159522,0.034673341,1.009052463,1.258298972,-0.906761651,-0.830716676,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,185.1415788,186.9396855,1.0,0.0,150,50,2,1883.0,1.12216829582116e-06,0.0007390531934339194,1.3076940474963987e-08,-1.1652453395836805e-08,-8.180104661234655,1.4244870791271825e-09
COCCCSC(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.218412408,-1.588504262,0.675799064,-0.107272334,-0.803178208,0.221421464,0.713815451,0.490110202,-0.688596452,-0.457676524,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,156.0420424,186.9396855,1.0,0.0,150,50,2,674.0,1.944529090465743e-06,0.0009835377312199562,2.2381786375282652e-08,-1.9446267584933137e-08,-6.624473891586896,2.9355187903495194e-09
COCCSCOC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.811797506,-1.106516624,1.131187744,-0.390804487,-0.27950949,0.203418073,0.56333665,0.623024003,-1.004918316,-0.417917547,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,150.0350652,186.9396855,1.0,0.0,150,50,2,3991.0,1.6203256273765365e-06,0.0008502649384016814,8.441464133845605e-09,-7.577041035776904e-09,-8.765431017178456,8.64423098068703e-10
