solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.849004281,-1.005166886,1.071052847,-0.361888875,-0.316252716,0.341838469,0.721684709,0.62558011,-0.812600012,-0.414483661,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,106.0629942,186.9396855,1.0,0.0,150,50,2,1353.0,1.8233220362881266e-06,0.0009278566607562066,1.595627070249119e-08,-1.3872144310403922e-08,-6.6560955050863635,2.0841263920872676e-09
COCCOP(C)(=O)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.96043326,-0.705317197,1.234669185,-0.197142494,-0.253094925,0.278965878,0.547668564,0.610352138,-0.919792071,-0.438522133,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,168.0551455,186.9396855,1.0,0.0,150,50,2,4798.0,1.5486828537148916e-06,0.0008243961586900548,8.48856233280387e-09,-7.548539476233088e-09,-8.030165887423491,9.400228565707831e-10
COCCOP(=O)(OC)OF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.930668664,-0.726237568,1.264531784,-0.325255955,-0.096452364,0.274419652,0.65935082,0.526954899,-0.895052461,-0.473766311,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,188.0249883,186.9396855,1.0,0.0,150,50,2,2858.0,1.6477614678042783e-06,0.0008620528478118467,1.1031157705447631e-08,-9.722253361822351e-09,-7.427779890235959,1.30890434362528e-09
COCCOC(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.199042028,-1.114139147,0.826715036,-0.257875671,-0.665296273,-0.070153826,0.607672269,0.315458862,-0.500635638,-0.356785587,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,126.0492359,186.9396855,1.0,0.0,150,50,2,3085.0,1.6231790487158815e-06,0.0008480413428558369,1.0361619283591486e-08,-9.11606177325489e-09,-7.318860588614165,1.2455575103365956e-09
COOCCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.722664192,-1.098510488,1.021394311,-0.346581336,-0.141532306,0.057437668,0.270262046,0.297829031,-0.716488901,-0.611399733,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,104.0473441,186.9396855,1.0,0.0,150,50,2,3411.0,1.6153947173168969e-06,0.0008480445397183251,1.004574995925821e-08,-8.870547128993574e-09,-7.548098847750451,1.1752028302646368e-09
COP(=O)(OC)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.864206206,-1.070963403,1.195459079,-0.311196376,-0.095889899,0.13523675,0.498577703,0.472603894,-0.868197314,-0.532396453,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,172.0300737,186.9396855,1.0,0.0,150,50,2,2527.0,1.6688867647406626e-06,0.0008686193469744617,1.1715101195811467e-08,-1.0293594423643193e-08,-7.24132633426854,1.4215067721682741e-09
[CH2]CCCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.781923465,-1.480382803,0.800723293,-0.112565348,-0.232797946,0.354609547,0.437055623,0.405522473,-0.641594453,-0.37983102,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,103.0759046,186.9396855,1.0,0.0,150,50,2,3054.0,1.6500231789912703e-06,0.000857901432387414,1.0468704621980162e-08,-9.21444445142294e-09,-7.346517626665376,1.2542601705572204e-09
COCCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.888534924,-1.532756501,0.90794227,-0.240820551,-0.416103068,0.506807844,0.882704192,0.708296643,-0.830122454,-0.480508619,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,92.06374313,186.9396855,1.0,0.0,150,50,2,229.0,2.092828506735208e-06,0.0010437875852767021,3.332954745486035e-08,-2.797109235406882e-08,-5.219991924526358,5.358455100791523e-09
[CH]CCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.867737578,-1.496309791,0.863331151,-0.209246011,-0.49012271,0.541553124,0.771577711,0.738896315,-0.787635112,-0.436652911,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,72.05751488,186.9396855,1.0,0.0,150,50,2,414.0,1.9921712441994543e-06,0.0010041800526501647,2.786139923354979e-08,-2.361395398367352e-08,-5.55956642039386,4.24744524987627e-09
[CH2]OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.815044857,-0.981745187,1.062963531,-0.349765632,-0.283044351,0.33330846,0.639936444,0.666761579,-0.797057796,-0.182423873,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,89.06025453,186.9396855,1.0,0.0,150,50,2,4054.0,1.5275990828340753e-06,0.0008170062871779486,9.134115714293942e-09,-8.084382316522111e-09,-7.701367160159005,1.0497333977718313e-09
COOOOP,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.58116432,-1.45562024,1.020801003,-0.526149509,-0.20763439,-0.032431673,0.344369264,0.342866213,-0.645369069,-0.441664899,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,111.9925453,186.9396855,1.0,0.0,150,50,2,4254.0,1.5678010286990546e-06,0.000828565790211773,8.92336398561349e-09,-7.906880158559844e-09,-7.778658103669507,1.0164838270536469e-09
COCCOP,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.904752755,-0.978504803,1.076069733,-0.41041915,-0.426857142,0.274239432,0.679911867,0.619857292,-0.722249105,-0.391565424,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,108.0340162,186.9396855,1.0,0.0,150,50,2,1715.0,1.7662458117858121e-06,0.0009046576050537221,1.4161749656053702e-08,-1.235695723900427e-08,-6.846747095273188,1.8047924170494312e-09
COP(=O)(OC)O[Si](C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.243105453,-0.984888364,1.085572215,-0.448843494,-0.079029055,0.108938716,0.254157172,0.018898402,-0.844426022,-0.523676781,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,183.024247,186.9396855,1.0,0.0,150,50,2,4595.0,1.48486746776409e-06,0.0008026634014731385,8.547521942399157e-09,-7.581574923131811e-09,-7.848851719509731,9.659470192673464e-10
COCCCOF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.890195808,-1.534494982,0.903516331,-0.235865546,-0.425754444,0.534302902,0.873815423,0.685763193,-0.851037083,-0.481096005,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,108.0586577,186.9396855,1.0,0.0,150,50,2,251.0,2.099081592515359e-06,0.001044205127450906,3.274940726016821e-08,-2.750125464913481e-08,-5.240178151701959,5.2481526110334e-09
COSP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.478981727,-1.038331407,1.112369108,-0.460944663,0.017540167,-0.038903814,0.173511432,0.173330176,-0.874496824,-0.723699143,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,171.9959164,186.9396855,1.0,0.0,150,50,2,4419.0,1.5146020436713392e-06,0.0008147794584108593,8.799382088126045e-09,-7.808895255227983e-09,-7.883896076013417,9.904868328980613e-10
COCCOB(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.836963151,-0.985955347,1.066718173,-0.342477277,-0.294339244,0.285064854,0.667730168,0.633903083,-0.794117108,-0.398272877,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,116.1008601,186.9396855,1.0,0.0,150,50,2,2301.0,1.7128043030873502e-06,0.0008830811116336323,1.2252648540940035e-08,-1.074850996941998e-08,-7.145957276102391,1.5041385715200531e-09
COOCCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.661094547,-1.428359521,0.865614344,-0.418395423,-0.157616957,0.142483332,0.44695599,0.39895682,-0.624867245,-0.395952177,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,122.0579088,186.9396855,1.0,0.0,150,50,2,4986.0,1.5531165525608194e-06,0.0008192865104527559,8.123410532419411e-09,-7.20559662949646e-09,-7.850825321504573,9.178139029229531e-10
COCCOCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.905780849,-0.683807374,1.221695505,-0.196398062,-0.212803497,0.348873236,0.626139567,0.547142575,-0.981184257,-0.442976971,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,118.0629942,186.9396855,1.0,0.0,150,50,2,2238.0,1.7178985870374924e-06,0.0008919952907320798,1.2747523260819563e-08,-1.1211947225749791e-08,-7.301460148953396,1.5355760350697704e-09
COCC#P=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.46042322,-0.825235114,0.996670998,-0.387330148,-0.217066609,0.241937399,0.305826704,-0.001339954,-0.742641936,-0.427832539,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,104.002716,186.9396855,1.0,0.0,150,50,2,3046.0,1.5550152450333617e-06,0.0008287518729882303,1.0508148074413035e-08,-9.251301441370115e-09,-7.360724211013737,1.2568466330429193e-09
COCCCOC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.936658892,-1.14564572,1.05046839,-0.076673724,-0.351081537,0.508143982,0.646960963,0.683564481,-0.966025506,-0.492818625,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,118.0629942,186.9396855,1.0,0.0,150,50,2,906.0,1.8975611518987965e-06,0.0009608947156638541,1.9486444269769087e-08,-1.6840859533233644e-08,-6.36564737491182,2.6455847365354465e-09
COCC(C)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.770953457,-1.476241516,1.059471726,-0.814281476,0.623141205,-0.071816918,1.302966113,0.000795732,0.078093436,-0.195834303,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,110.0543213,186.9396855,1.0,0.0,150,50,2,3919.0,1.4694292562192277e-06,0.0008066459943852383,9.472678766236024e-09,-8.401568863982607e-09,-7.843797211011932,1.071109902253416e-09
FCCCOCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.417909621,-1.573974711,0.528456537,-0.080373701,0.082304227,0.363677415,0.381785003,-0.053523255,-0.721374888,-0.518351738,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,110.0543213,186.9396855,1.0,0.0,150,50,2,4362.0,1.5540447487328014e-06,0.0008256850397330153,8.838615631981996e-09,-7.839174085392947e-09,-7.843554345070941,9.994415465890478e-10
COCCOP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.940081997,-0.711042429,1.255354361,-0.258993295,-0.201131331,0.279924169,0.588194946,0.607212583,-0.92676006,-0.450996889,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,184.0500601,186.9396855,1.0,0.0,150,50,2,4318.0,1.5611335115406445e-06,0.000829579993429604,8.969353230067217e-09,-7.9618130528254e-09,-7.902228846715763,1.0075401772418171e-09
COCCO[Si],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.809169372,-0.996830451,1.086543328,-0.334090191,-0.295327074,0.268064588,0.707468397,0.608162252,-0.783134676,-0.411945096,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,103.021531,186.9396855,1.0,0.0,150,50,2,1613.0,1.777592994908633e-06,0.000909945057101643,1.4651376598951712e-08,-1.2774933192690202e-08,-6.80805674717473,1.8764434062615095e-09
[CH2]COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.919905991,-1.049954721,1.067676494,-0.29344006,-0.400436326,0.373358445,0.74332704,0.631410752,-0.845732299,-0.399702957,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,103.0759046,186.9396855,1.0,0.0,150,50,2,988.0,1.8940533018963801e-06,0.0009572911231393609,1.8649544087821837e-08,-1.6125608718628287e-08,-6.389073553726048,2.5239353691935482e-09
COP(=O)(F)OCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.923514956,-0.83145107,1.238662621,-0.206676148,-0.138832572,0.104572997,0.408921046,0.413949615,-0.882783739,-0.499902997,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,160.0100872,186.9396855,1.0,0.0,150,50,2,4432.0,1.5486679096619917e-06,0.0008239539386968251,8.778066020779952e-09,-7.78928264107162e-09,-7.877643173340226,9.887833797083323e-10
COCCCB=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.732496371,-1.041917346,0.965101451,-0.121745304,-0.495901255,0.607378932,0.675443876,0.576422481,-0.803771924,-0.842554785,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,100.0695599,186.9396855,1.0,0.0,150,50,2,142.0,2.1326920026662443e-06,0.0010669137323764408,3.896031638106873e-08,-3.249769434507471e-08,-5.028561807278304,6.4626220359940265e-09
COOP(=O)(OC)OCCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.796390748,-1.145630036,1.113563661,-0.3357356,-0.274662573,0.097788708,0.46287816,0.481868284,-0.875520451,-0.459190158,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,198.0293247,186.9396855,1.0,0.0,150,50,2,4020.0,1.5707609541403803e-06,0.0008318797325920704,9.214226912753625e-09,-8.159940420103871e-09,-7.739775172112249,1.0542864926497544e-09
COCP(OC)(OC)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.499108663,-1.330278854,0.872755167,-0.524069667,-0.222032673,0.207689447,0.48511081,0.343542448,-0.592129789,-0.553437409,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,200.0813603,186.9396855,1.0,0.0,150,50,2,3390.0,1.605261055597108e-06,0.0008415444248605459,9.946219817934496e-09,-8.76622173282019e-09,-7.429013524179602,1.179998085114303e-09
COCCOP(C)(=O)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.91068634,-0.697677153,1.231082395,-0.26209517,-0.086857428,0.193937524,0.635385733,0.57792414,-0.906931765,-0.511272998,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,156.035159,186.9396855,1.0,0.0,150,50,2,3511.0,1.6206990419777088e-06,0.000851542766775611,1.0018881381948014e-08,-8.865056717444991e-09,-7.683192247639593,1.1538246645030244e-09
COCCC#P=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.909454721,-0.948566741,1.160259969,-0.339749569,-0.29899757,0.327955274,0.665238207,0.659923682,-0.913794388,-0.458243786,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,118.0183661,186.9396855,1.0,0.0,150,50,2,1487.0,1.8067975501390146e-06,0.0009234207657421297,1.5394145404060675e-08,-1.3428243702498343e-08,-6.8305773843253395,1.9659017015623284e-09
COCCOC[Si],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.66634077,-0.857535651,1.00719864,-0.138706369,-0.420443292,0.21742803,0.995976039,0.858814732,-0.744669745,-0.414988489,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,117.0371811,186.9396855,1.0,0.0,150,50,2,1840.0,1.7254046960359025e-06,0.0008941070636661202,1.3829290396255331e-08,-1.2103037063100538e-08,-7.0111592723078395,1.7262533331547925e-09
COP(C)(=O)OOCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.822630325,-1.159688112,1.077803078,-0.309532469,-0.165447268,0.081143648,0.513294912,0.48285117,-0.828960843,-0.490365086,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,172.0300737,186.9396855,1.0,0.0,150,50,2,3498.0,1.6036415825679352e-06,0.0008412343241967418,9.866053104366826e-09,-8.709776546621282e-09,-7.532606700600438,1.1562765577455424e-09
CCOOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.049282759,-0.965799745,0.846165105,-0.00586034,-0.359978693,0.526337658,0.552423364,0.506290622,-0.556776539,-0.335287036,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,120.0786442,186.9396855,1.0,0.0,150,50,2,3602.0,1.5800493461133455e-06,0.0008309959304735877,9.518189989293974e-09,-8.386332727148997e-09,-7.409355408698892,1.131857262144976e-09
COCCOP(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.785097674,-1.033089738,1.133441125,-0.418355328,-0.298352282,0.344523373,0.54715203,0.739552197,-0.661200863,-0.430744207,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,136.0653163,186.9396855,1.0,0.0,150,50,2,3112.0,1.6383649159968038e-06,0.0008545364342215113,1.0412428053729182e-08,-9.17548758487505e-09,-7.4178893939616755,1.2369404688541322e-09
COOCCP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.695863009,-1.101013905,1.061729412,-0.311367,-0.178604085,0.201022936,0.49035002,0.496292271,-0.899797856,-0.44354236,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,184.0500601,186.9396855,1.0,0.0,150,50,2,4517.0,1.559413218926839e-06,0.0008252560687756509,8.641092545314343e-09,-7.664051248601002e-09,-7.844142590883339,9.770412967133407e-10
COOCCOP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.7630179,-1.150534615,1.088651515,-0.301416457,-0.159650446,0.184225161,0.507961036,0.522139077,-0.894193536,-0.481172083,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,200.0449748,186.9396855,1.0,0.0,150,50,2,3793.0,1.5933603054507413e-06,0.0008398529740635306,9.48751474538784e-09,-8.393762354747752e-09,-7.674280236165303,1.0937523906400845e-09
[CH]CCCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.821370812,-1.488835203,0.797580047,-0.165940489,-0.238501333,0.357750623,0.422256302,0.459001121,-0.620350429,-0.399424401,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,102.0680796,186.9396855,1.0,0.0,150,50,2,3139.0,1.6147950335235007e-06,0.0008446293832999611,1.0278234486862911e-08,-9.04691878298824e-09,-7.347359214634916,1.2313157038746709e-09
