solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCOF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.863536483,-1.039066818,1.081460973,-0.406528781,-0.227115199,0.260968675,0.755055685,0.576430744,-0.762005244,-0.443189622,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,94.04300768,186.9396855,1.0,0.0,150,50,2,1095.0,1.8468071070024832e-06,0.000938267742267295,1.757060775276068e-08,-1.520748685799662e-08,-6.435340185807535,2.3631208947640608e-09
[CH2]CCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.653604727,-1.424193823,0.878122757,-0.406314048,-0.163474499,0.121482732,0.449709819,0.405105285,-0.624376888,-0.395796222,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,89.06025453,186.9396855,1.0,0.0,150,50,2,3925.0,1.5730560395785367e-06,0.0008298431813567792,9.237026137910932e-09,-8.166633600518955e-09,-7.62956888733272,1.0703925373919773e-09
COCB(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.608168757,-1.44121223,0.92696496,-0.546184795,-0.079639181,0.040126029,0.487228863,0.370232267,-0.575215716,-0.391730935,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,94.04015162,186.9396855,1.0,0.0,150,50,2,4329.0,1.5623492294750366e-06,0.0008259504429695929,8.804824916467913e-09,-7.798487980377759e-09,-7.7493806504575184,1.006336936090156e-09
COCCO[Al],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.843809408,-0.989662476,1.069399438,-0.365415914,-0.311995312,0.308275111,0.678411253,0.599304145,-0.771734731,-0.40993421,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,102.0261431,186.9396855,1.0,0.0,150,50,2,1636.0,1.779212309890493e-06,0.0009103302100529792,1.4536412244341011e-08,-1.2676350616777752e-08,-6.815016464472824,1.8600616275632625e-09
COCCB=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.801731333,-1.105580045,1.08300639,-0.354706705,-0.315271317,0.212796566,0.668411093,0.618926527,-0.873169934,-0.459649089,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,86.05390986,186.9396855,1.0,0.0,150,50,2,1185.0,1.8401862225300327e-06,0.0009385288867470163,1.7222640840697216e-08,-1.4957309288706163e-08,-6.602702052845125,2.2653315519910537e-09
COCCOOC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.892906663,-0.659654059,1.221912384,-0.265752126,-0.179032464,0.295421978,0.536929244,0.523195745,-0.927456452,-0.427055484,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,120.0422587,186.9396855,1.0,0.0,150,50,2,3681.0,1.6102029730127158e-06,0.0008485503412710042,9.784521325327421e-09,-8.668336064950625e-09,-7.766037030469672,1.1161852603767953e-09
COCCOOF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.867386048,-1.041067714,1.083539521,-0.40094204,-0.225466091,0.304233225,0.783784011,0.599485157,-0.793602625,-0.450188077,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,110.0379223,186.9396855,1.0,0.0,150,50,2,1037.0,1.8734028132512334e-06,0.0009473632433358075,1.8081967339929365e-08,-1.5630622100678076e-08,-6.37634464962272,2.451345239251288e-09
COCCCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.046620358,-1.064656127,0.99363777,-0.04268693,-0.413474829,0.534218828,0.629863311,0.69021654,-1.048050946,-0.485018728,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,102.0680796,186.9396855,1.0,0.0,150,50,2,963.0,1.8754346784849552e-06,0.0009549952699531315,1.9115933966001927e-08,-1.6558037876618002e-08,-6.473303565902887,2.5578960893839235e-09
COCCOCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.911144762,-1.066284524,1.15189928,-0.429532252,-0.251715794,0.344949204,0.850132147,0.616511592,-0.751096095,-0.442993223,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,108.0586577,186.9396855,1.0,0.0,150,50,2,620.0,1.9755163442944866e-06,0.0009898692073064856,2.2955380114807535e-08,-1.9636441077029186e-08,-5.916481397673855,3.3189390377783525e-09
[CH]OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.910130333,-0.953172158,0.851843758,-0.359861169,-0.277795839,0.518527682,0.729742433,0.808529492,-0.875647711,-0.422520884,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,88.0524295,186.9396855,1.0,0.0,150,50,2,2377.0,1.6843113723180548e-06,0.0008766050742620781,1.2175925615677823e-08,-1.0700152706098004e-08,-7.250541486863682,1.4757729095798192e-09
