solv_comb_sm,salt_comb_sm,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COC1(C(F)F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.679407085370841e-06,0.0022997372780678743,8.438763190776479e-07,6.042866451573848e-07,0.716084373380529,1.4481629642350324e-06
COC1(C(F)(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.7636848149553956e-06,0.0022948589547629444,8.434955201806972e-07,5.883781766939154e-07,0.6975474826088828,1.4318736968746124e-06
COC1(C(C)(F)F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.4446045967259775e-06,0.002258927780608866,8.364114677211096e-07,5.906943258942575e-07,0.7062245661261268,1.427105793615367e-06
COC1(C(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.889545393507595e-06,0.00230844642709029,8.513511271284251e-07,5.730074985507384e-07,0.6730566041340321,1.4243586256791635e-06
COC1(F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.583388737040761e-06,0.002275432441631213,8.500037289966273e-07,5.640064336785254e-07,0.6635340698379022,1.4140101626751528e-06
COCCOC1(C(F)(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,5.1032358667794024e-06,0.0023179411143119766,8.473732335360004e-07,5.638590707702369e-07,0.6654199689755501,1.4112323043062374e-06
COC1(OF)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.572140529882875e-06,0.002266258951132805,8.533260386502572e-07,5.456347156988139e-07,0.6394211485235678,1.3989607543490712e-06
COC1(F)CCCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.559534184883268e-06,0.002264250348464358,8.535070013935305e-07,5.425778479098592e-07,0.6357040387764672,1.3960848493033897e-06
COC1(CF)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.540626940054297e-06,0.0022576294425821737,8.561173610091007e-07,5.313992332311242e-07,0.6207083951723242,1.387516594240225e-06
COC1(F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.766937834032074e-06,0.0022786104276119757,8.58005918231514e-07,5.260289216164542e-07,0.6130830923645411,1.3840348398479681e-06
COC1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.327107245705632e-06,0.0022349319967646117,8.568426660307447e-07,5.187529090873804e-07,0.6054237605725936,1.375595575118125e-06
[CH]CC1(OC)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.500903144508733e-06,0.0022454375436550687,8.608588383616416e-07,5.075933974593256e-07,0.5896360411718149,1.368452235820967e-06
COC1(C(F)(Cl)Cl)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.700943000591082e-06,0.0022581279104550295,8.565405208299756e-07,5.118478243388872e-07,0.5975757268820322,1.3683883451688627e-06
COC1(OC(C)C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.690476250236207e-06,0.002257089136801446,8.654184282748047e-07,4.945116334427527e-07,0.5714133386650343,1.3599300617175576e-06
COC1(C(C)(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.5433525996972454e-06,0.0022324039588883272,8.531812295913204e-07,5.043898226502951e-07,0.5911872005106128,1.3575710522416153e-06
COC1([Al])CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.584556809845653e-06,0.002247834841553286,8.621427884437509e-07,4.944832002775026e-07,0.5735513964804966,1.3566259887212533e-06
COC1(CF)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.712298793846217e-06,0.002256796076737059,8.657172053925251e-07,4.85636594824631e-07,0.5609644717693214,1.3513538002171562e-06
COC1(C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.473288382929566e-06,0.0022348165851554893,8.642828736865534e-07,4.833661787070071e-07,0.5592684911656689,1.3476490523935604e-06
COOC1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.349726504374592e-06,0.0022196075437368994,8.644658417123229e-07,4.775932180577431e-07,0.552472052697574,1.342059059770066e-06
CC1(OC(F)F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.3872517628373866e-06,0.002220414770689955,8.675641175993518e-07,4.7156598677386696e-07,0.5435517412577453,1.339130104373219e-06
COOCC1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.3336469478823394e-06,0.0022124811589045393,8.658895850759357e-07,4.6630678539299643e-07,0.5385291536357986,1.3321963704689321e-06
COOOC1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.328291217818439e-06,0.002208770572401563,8.675698175782248e-07,4.576391962012936e-07,0.5274955247737515,1.325209013779518e-06
COC1(C)CCCC(F)(F)C1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.597643858836353e-06,0.002228677072992866,8.719351422758412e-07,4.4437555027858407e-07,0.5096428951340553,1.3163106925544255e-06
CC1(OC(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.579094562911361e-06,0.0022274229563614347,8.741592973416804e-07,4.41056741977892e-07,0.5045496207832442,1.3152160393195724e-06
COC1(OC(C)(C)C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.364308520027333e-06,0.0021965841314941044,8.607502028518932e-07,4.543066447273276e-07,0.5278031224646703,1.3150568475792208e-06
COC1(OC)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.703368952302721e-06,0.002238490009855819,8.728362615343425e-07,4.39498185565179e-07,0.503528788770294,1.3123344470995215e-06
COOC1(C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.499013529692783e-06,0.0022175932023017235,8.726536884644865e-07,4.3600595589274037e-07,0.4996322844402715,1.3086596443572268e-06
CC(C)OC1(C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.473871413916228e-06,0.002213422150918094,8.76205134179593e-07,4.313726837368769e-07,0.4923192833614004,1.30757781791647e-06
COC1(Cl)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.704505399755169e-06,0.0022354500948264604,8.740046728023899e-07,4.316871631229505e-07,0.4939185985571427,1.3056918359253405e-06
COC1(C)CCCCC1(C)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.4510514292736005e-06,0.002209663614883267,8.720853893196678e-07,4.3296087639640897e-07,0.4964661507907739,1.3050462657160768e-06
COC1(C(F)(F)C(C)(C)C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.504128308101935e-06,0.0022030212524210197,8.640098844354859e-07,4.403840824909167e-07,0.5096979680720302,1.3043939669264028e-06
CC(C)C1(F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.594959972188829e-06,0.0022226014267741913,8.789637140020588e-07,4.226667865569032e-07,0.48086943729728665,1.3016305005589622e-06
CC1(OCC[Si])CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.518008908848465e-06,0.0022141456169306032,8.777101382066665e-07,4.2296015195756147e-07,0.4818904710634331,1.300670290164228e-06
CCC1(OC)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.283056830313274e-06,0.0021907308242696947,8.729408175691651e-07,4.272768596738595e-07,0.4894683019447711,1.3002176772430247e-06
COC1(C(F)F)CCCC1(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.615045006007913e-06,0.0022219273770560173,8.758460347629629e-07,4.2025081094176744e-07,0.4798227020066412,1.2960968457047304e-06
CC1(C(F)(F)F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.168610906897514e-06,0.0021769574736641754,8.71935840883768e-07,4.2319110008046976e-07,0.48534660491938947,1.2951269409642375e-06
FC(F)(F)C1(F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.315234041321376e-06,0.0021869217557306886,8.743287836160411e-07,4.160490123306436e-07,0.47584961187020725,1.2903777959466847e-06
COC1(N(F)F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.366752688338786e-06,0.002191688098715517,8.759539413547186e-07,4.1342170263286653e-07,0.47196739818703654,1.289375643987585e-06
COC1(C(F)(F)F)CCCC1(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.46593269794368e-06,0.0022008694270993084,8.702404145680347e-07,4.183743661780248e-07,0.48075722429611045,1.2886147807460597e-06
COC1(CCl)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.672088723807644e-06,0.0022208657770402492,8.79191556129003e-07,4.060235648644375e-07,0.46181467739763193,1.2852151209934405e-06
[Si]OC1(O[Si])CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.518095475804076e-06,0.002204472283520395,8.76562231199585e-07,4.0815390859769313e-07,0.4656302702423421,1.2847161397972782e-06
FC1(F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.322106453161612e-06,0.002189526886937153,8.79538974308076e-07,4.0494698032948654e-07,0.46040822767183687,1.2844859546375624e-06
CC(F)C1(C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.368700569425923e-06,0.002192981395050852,8.806576140381845e-07,4.0298681148518784e-07,0.45759760099878577,1.2836444255233727e-06
COC1(OC)CCCCC1(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.605462978144468e-06,0.00221016995831414,8.785557370078429e-07,3.993825718197784e-07,0.4545899081826986,1.2779383088276212e-06
CC1(F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.1533136729014e-06,0.0021710707009736916,8.786789986247236e-07,3.991079511306906e-07,0.45421359991004656,1.2777869497554143e-06
FOC1(F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.7089479279664365e-06,0.00222294760202802,8.79666415625485e-07,3.980892996137776e-07,0.45254575205160813,1.2777557152392625e-06
CC1(C(F)F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.233484031514246e-06,0.002177276825611452,8.800244626282838e-07,3.976890539109001e-07,0.45190681713910624,1.2777135165391839e-06
COC1(C(Cl)(Cl)Cl)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.623401650403292e-06,0.0022088930813720063,8.758283009910265e-07,4.0118645788991735e-07,0.4580651909009592,1.277014758880944e-06
CCC1(OOC)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.33471415950666e-06,0.0021822447078782893,8.786188400895308e-07,3.9565253852981886e-07,0.4503119219359126,1.2742713786193496e-06
FC1(F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.5429939810272326e-06,0.0022063732740306512,8.818340394115698e-07,3.913081469569905e-07,0.44374352709054254,1.2731421863685602e-06
COOC1(Cl)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.733825203176304e-06,0.0022205422690966307,8.805903607846533e-07,3.884491093090002e-07,0.4411235082824109,1.2690394700936533e-06
COC1(P(C)C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.363334722246457e-06,0.002183365002102212,8.789059595587585e-07,3.900050238130504e-07,0.4437391959531672,1.2689109833718089e-06
CC1(C(F)(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.337288515172669e-06,0.002178686304699544,8.79410039811878e-07,3.878912851945534e-07,0.4410812563358163,1.2673013250064313e-06
COC1(C)CCCC1(C)C(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.72991138778034e-06,0.002217874340253294,8.824551256354303e-07,3.8479101839046195e-07,0.4360459894358765,1.2672461440258923e-06
COC1(C)CCCC1(C)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.62293827677057e-06,0.0022057690474735435,8.809584091335904e-07,3.808949054362914e-07,0.4323642313726206,1.2618533145698816e-06
FC(F)C1(F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.672061770086838e-06,0.002211538517937225,8.853783696259192e-07,3.763155219373239e-07,0.42503356174865753,1.2616938915632431e-06
COC1(F)CCCCC1(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.644116524601933e-06,0.0022064337008560475,8.819903299335867e-07,3.7952374166109076e-07,0.43030374458829795,1.2615140715946777e-06
FC1(F)CCCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.288119454915381e-06,0.002173398508248516,8.840490308982002e-07,3.7622127584432687e-07,0.42556607461249446,1.260270306742527e-06
CC1(F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.322186462245384e-06,0.0021767294457799543,8.838508897101689e-07,3.7278607697226894e-07,0.42177485061367354,1.256636966682438e-06
CC1(C(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.418885883654868e-06,0.002185049602251894,8.849970286446891e-07,3.713959672021985e-07,0.4196578691015103,1.2563929958468875e-06
CC1(F)CCCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.123995110596693e-06,0.0021566489802147455,8.826095307490761e-07,3.7377489223901523e-07,0.42348839347088196,1.2563844229880914e-06
COC(C)C1(CC=O)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.685625528545303e-06,0.0022031344867666208,8.819826376415963e-07,3.743986980690255e-07,0.42449667611389724,1.2563813357106218e-06
CC1(O[SiH3])CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.224434453012131e-06,0.0021656085430446577,8.823150637372256e-07,3.7383056592735686e-07,0.42369282957033644,1.2561456296645824e-06
CC1(OCl)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.2336027517562775e-06,0.002165456672594389,8.828971951889306e-07,3.7257509448207203e-07,0.42199148044902884,1.2554722896710028e-06
COCCOC1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.296262898899271e-06,0.0021667757681300202,8.768970841990679e-07,3.7747677082715255e-07,0.43046872618116727,1.2543738550262203e-06
COCC(C)(F)CF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,7.402751739573993e-06,0.0025265793177663034,8.901367594759526e-07,3.6275459433592763e-07,0.4075268103178786,1.25289135381188e-06
FC(F)(F)C1(P)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.5312031720691475e-06,0.0021879489059647853,8.837904826800696e-07,3.6642515970748066e-07,0.41460636529633893,1.2502156423875503e-06
CC(C)(C)OC1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.122698459932473e-06,0.00214256099397523,8.744484928420719e-07,3.74342394027788e-07,0.4280897012139918,1.24879088686986e-06
COC1(C(F)(F)F)CCCS1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.873295273574914e-06,0.0022201416751491928,8.813038617679563e-07,3.6682646420895683e-07,0.4162315407004772,1.2481303259769133e-06
CC(C)C1(C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.323125315774861e-06,0.0021713062038519453,8.874823966228742e-07,3.580922963862628e-07,0.40349228080343563,1.245574693009137e-06
COC1(N(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.515671665286798e-06,0.0021849216325172255,8.864753873390607e-07,3.5823553218813613e-07,0.4041122148506054,1.2447109195271967e-06
CC(C)(C)OOC1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.140672437975896e-06,0.002140051525317373,8.760752345269198e-07,3.6451658304199216e-07,0.4160790862200675,1.240591817568912e-06
CC1(F)CCCCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.09885100067618e-06,0.0021452068395827585,8.852626344219036e-07,3.54046243593225e-07,0.3999335675388865,1.2393088780151288e-06
FC1(P)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.302761514032216e-06,0.002163953898423865,8.871394542987256e-07,3.515201388405385e-07,0.3962400016561224,1.238659593139264e-06
FC1(F)CCCCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.253173392361984e-06,0.0021579341666062473,8.879646976650193e-07,3.4938053795641456e-07,0.39346219379570063,1.2373452356214338e-06
COC1(CC=O)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.438845239948397e-06,0.0021733458284553505,8.842380830110355e-07,3.5246209226212645e-07,0.3986054197777949,1.2367001752731618e-06
CCC1(OC)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.3514215468031155e-06,0.0021624163115747047,8.873202987382341e-07,3.4414287103083787e-07,0.3878451462456203,1.2314631697690721e-06
COC1(CCCl)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.47335508108246e-06,0.0021748631816142475,8.867721730202943e-07,3.4423561665510004e-07,0.38818946639095997,1.2310077896753944e-06
CC1(OCl)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.412349502585035e-06,0.002170964199257593,8.881962907546056e-07,3.417766623766605e-07,0.38479856979169474,1.2299729531312665e-06
COC1(C)CCCSC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.488537819515482e-06,0.0021773776967081255,8.863823990188129e-07,3.43108873303e-07,0.3870889964453341,1.2294912723218132e-06
COCC1(F)CCCC1(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.959146197209198e-06,0.0022235365326838605,8.884982518408241e-07,3.400580882360627e-07,0.38273354790683894,1.2285563400768869e-06
CCC1(CF)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.125621147263052e-06,0.0021417408600333007,8.888482859733152e-07,3.3844782398139366e-07,0.38077119495233464,1.2272961099547089e-06
C[Si]OC1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.141444275293557e-06,0.0021423452580579118,8.865322762385195e-07,3.4007320611458877e-07,0.3835993513484814,1.2266054823531081e-06
CCC1(F)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.206376099746904e-06,0.002149048313669854,8.895044404692479e-07,3.3636840090818746e-07,0.3781525820497761,1.2258728413774354e-06
CC1(OCCC[Si])CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.4674409751948615e-06,0.0021720310636913934,8.916520211680277e-07,3.3420565578824583e-07,0.3748162375614313,1.2258576769562735e-06
COC1(C)CCCS1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.552306403757555e-06,0.002182119382740254,8.871093311798827e-07,3.372243603772724e-07,0.3801384435092725,1.2243336915571552e-06
CON1C(C)(C)CCCC1(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.161133612360021e-06,0.0021438002350742326,8.848320093768961e-07,3.3834513366022913e-07,0.382383469488738,1.2231771430371252e-06
FC(F)(F)C1(Cl)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.490981056755224e-06,0.00217054122763582,8.88415990295606e-07,3.332468199836004e-07,0.37510223096358036,1.2216628102792063e-06
CC1(CCF)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.090102014464147e-06,0.00213550203487925,8.894308261102548e-07,3.309562406158572e-07,0.3720989096625166,1.2203870667261119e-06
CC1(CC(F)(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.2757748371717595e-06,0.002147573389800327,8.876691969481495e-07,3.324537741367202e-07,0.374524400846298,1.2201229710848697e-06
CO[Si](OC)C1(CCC(F)(F)F)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.354746088414639e-06,0.0021495477213917726,8.820040806266508e-07,3.3802647614643844e-07,0.38324819983403663,1.2200305567730891e-06
COC1(OC(C)(C)C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.4152655738459016e-06,0.0021529810019227285,8.795863296001244e-07,3.39773387772334e-07,0.3862877085945629,1.2193597173724584e-06
CC1(P)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.127740980528663e-06,0.0021395702463758797,8.902957657046035e-07,3.287117869106771e-07,0.3692163880511393,1.2190075526152805e-06
COC1(P(C)C)CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,4.496259466296984e-06,0.0021722436418266837,8.886695045648217e-07,3.297439865870993e-07,0.3710535636626507,1.2184134911519208e-06
CC(F)(F)C1(C)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.927415918008911e-06,0.0021137774531326077,8.814889908358111e-07,3.346829553762202e-07,0.3796791098421776,1.2161719462120314e-06
