solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COOP(=O)(Cl)OOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.600781081,-1.115584688,1.202477556,-0.474273416,0.401352754,-0.17081837,0.519055991,0.181788991,-0.55902624,-0.42427787,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,175.9641376,186.9396855,1.0,0.0,150,50,2,1034.0,1.6034703501912486e-06,0.0008114565147810625,1.946183354190381e-08,-1.6044989031646397e-08,-4.695849923366176,3.41684451025741e-09
CCCOP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.987969402,-1.327217493,0.802914155,0.333953898,-0.25699895,0.459549374,0.320118556,0.258726736,-0.355405698,-0.302515639,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,168.0551455,186.9396855,1.0,0.0,150,50,2,2157.0,1.4584739854257447e-06,0.0007561271227635198,1.4509574128267052e-08,-1.220042096658494e-08,-5.283504433156563,2.309153161682113e-09
COCCOC(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.199042028,-1.114139147,0.826715036,-0.257875671,-0.665296273,-0.070153826,0.607672269,0.315458862,-0.500635638,-0.356785587,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,126.0492359,186.9396855,1.0,0.0,150,50,2,942.0,1.7827660144552765e-06,0.0008766767846870537,2.0867074758792656e-08,-1.7249213512513504e-08,-4.7677929965539,3.617861246279152e-09
COOCCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.722664192,-1.098510488,1.021394311,-0.346581336,-0.141532306,0.057437668,0.270262046,0.297829031,-0.716488901,-0.611399733,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,104.0473441,186.9396855,1.0,0.0,150,50,2,4683.0,1.5947111253040717e-06,0.0008114367754882966,1.1711310802150687e-08,-1.010058728278623e-08,-6.27083863950259,1.6107235193644562e-09
COP(C)(=O)OC(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.71634564,-1.071955234,1.221440582,-0.552242223,0.69883238,-0.137131262,0.945373667,-0.036237069,-0.23270099,-0.245596588,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,166.075881,186.9396855,1.0,0.0,150,50,2,2001.0,1.532611205487766e-06,0.0007898168210188513,1.5218259478900432e-08,-1.2830516825630715e-08,-5.373492326763482,2.3877426532697195e-09
COOCP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.801654763,-1.19224827,1.022087875,-0.117073961,0.280976319,0.143503151,0.60267377,0.08540023,-0.275217864,-0.276037268,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,170.0344101,186.9396855,1.0,0.0,150,50,2,1129.0,1.5471951225510319e-06,0.0007872378979603414,1.853982446255504e-08,-1.529482568589957e-08,-4.7133532979829145,3.2449987766554675e-09
COP(=O)(COP=O)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.650744705,-1.061819204,1.160055965,-0.44012798,0.348348255,-0.006350976,0.570723294,0.206996846,-0.378435303,-0.250742961,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,185.9846966,186.9396855,1.0,0.0,150,50,2,667.0,1.5394979295403666e-06,0.0007881735370649401,2.3254597577741916e-08,-1.87232301673525e-08,-4.1319161462,4.531367410389414e-09
[CH2]CCCOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.781923465,-1.480382803,0.800723293,-0.112565348,-0.232797946,0.354609547,0.437055623,0.405522473,-0.641594453,-0.37983102,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,103.0759046,186.9396855,1.0,0.0,150,50,2,2179.0,1.6214702413053804e-06,0.0008140672375867554,1.4837403528515571e-08,-1.2538250281319717e-08,-5.453420861185266,2.2991532471958545e-09
COCP(C)(OC)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.63256923,-0.904016446,1.00985773,-0.415124953,-0.092374337,0.229649859,0.328532789,0.215202149,-0.538685301,-0.509967808,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,184.0864457,186.9396855,1.0,0.0,150,50,2,4177.0,1.4701573161353843e-06,0.0007595548430593852,1.1657434009441508e-08,-9.96801782928398e-09,-5.900273684104599,1.6894161801575286e-09
CCCOP(=O)(OC)OCl,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.017267331,-1.335260251,0.829124222,0.380707076,-0.225979905,0.473507599,0.293932117,0.252173833,-0.396430437,-0.32230696,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,188.0005231,186.9396855,1.0,0.0,150,50,2,3660.0,1.4271518332275636e-06,0.0007464664860973938,1.2164216161205886e-08,-1.0358356140351043e-08,-5.735968469719864,1.8058600208548445e-09
